package,kind,V1_typosquatting,V2_install_execution,V3_obfuscation,V4_command_execution,V5_insecure_deserialization,V6_encoding,V7_network_exfiltration
aiohttp-sock,archive,1,0,0,1,0,1,1
libpipcontrolcandy,archive,0,0,0,1,0,0,0
randomad,archive,0,0,0,1,0,0,0
urlssser,archive,0,0,0,0,0,0,1
simpeljson,archive,1,0,0,0,0,0,0
selfcontrolverrand,archive,0,0,0,1,0,0,0
beeautifulsoup,archive,1,0,0,0,0,0,0
libstudypipstring,archive,0,0,0,1,0,0,0
aiohtto,archive,1,0,0,1,0,1,0
dhawnz,dir,0,0,0,1,0,1,1
sentinelonesdk,archive,0,0,0,0,0,0,1
spyme,archive,1,0,0,1,0,0,1
esqkillram,archive,0,0,0,1,0,0,0
huzzleup,archive,0,0,0,0,0,0,1
selfpushmcsplit,archive,0,0,0,1,0,0,0
esqhydraproof,archive,0,0,0,1,0,0,0
py-pushintelhydra,archive,1,0,0,1,0,0,0
eoerbisjxqyv,archive,0,0,0,1,0,0,1
pycparsre,archive,1,1,0,1,0,1,1
reqeuest,archive,1,0,0,1,0,0,1
sodha,archive,0,0,0,1,0,1,0
proofre,archive,0,0,0,1,0,0,0
hellomynameisahjahs,dir,0,0,0,1,0,0,0
urtelib32,archive,0,1,0,1,0,1,1
iamenumerate,archive,0,0,0,1,0,0,1
roblox-python-wrapper,archive,0,0,0,1,0,1,1
selfpyverint,archive,0,0,0,1,0,0,0
py-grandvirtual,archive,1,0,0,1,0,0,0
requirementtsxt,archive,0,1,0,1,0,0,1
pushgui,archive,0,0,0,1,0,0,0
keras-arg,dir,0,0,0,1,0,1,1
libadhackedsplit,archive,0,0,0,1,0,0,0
selfpaypalosintmine,archive,0,0,0,1,0,0,0
requestsd,archive,1,0,0,1,0,1,1
tpgrandencodever,dir,0,0,0,1,0,0,0
gkjzjh146,dir,0,1,0,1,0,1,1
genz-translator,dir,0,1,0,1,0,0,1
superurl,archive,0,0,0,1,0,0,0
tphydratoolsplit,dir,0,0,0,1,0,0,0
py-adrandomintel,archive,1,0,0,1,0,0,0
python-bnance,archive,1,0,0,0,0,0,0
requists,archive,1,1,0,1,1,1,1
esqintelgrand,archive,0,0,0,1,0,0,0
libponggetpaypal,dir,0,0,0,1,0,0,0
hackedmine,archive,0,0,0,1,0,0,0
adproof,archive,0,0,0,1,0,0,0
db-aggregator-api,archive,1,0,0,1,0,0,1
artifact-lab,dir,0,1,0,0,0,0,1
hamubika,archive,0,1,0,0,0,0,1
esqpaypalpongcc,archive,0,0,0,1,0,0,0
spyware,dir,0,1,0,1,0,0,1
libadosint,archive,0,0,0,1,0,0,0
esqpongcontrolkill,archive,0,0,0,1,0,0,0
evilpip,dir,0,0,0,0,0,1,1
tpvirtualpulltool,archive,0,0,0,1,0,0,0
libkillsplit,archive,0,0,0,1,0,0,0
rfeqtrade,archive,0,0,0,0,0,0,0
esqnvidiaproofinfo,archive,0,0,0,1,0,0,0
selfednvidiatool,archive,0,0,0,1,0,0,0
oenwea,archive,0,1,0,1,0,0,1
alibabacloud-oss2,archive,1,0,0,1,0,1,1
craftinfo,archive,0,0,0,1,0,0,0
py-pywvisakill,dir,1,0,0,1,0,0,0
klsosdoids2,archive,0,0,0,0,0,0,1
